number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
87,0.8538016932595246,2025-09-19 01:24:35.773431,2025-09-19 01:24:35.963405,0 days 00:00:00.189974,balanced,0.6620133410551206,0.17011700686855682,16,65,0.19534321375296926,552,173,0.01963302125916406,0.007319494335520153,0.6666355686264287,,PRUNED
88,0.8909150113969391,2025-09-19 01:24:35.986109,2025-09-19 01:24:36.336094,0 days 00:00:00.349985,balanced,0.6139838633533105,0.14452579168620647,16,80,0.2579867368841781,1201,149,1.1395174213581905,0.017674350539747984,0.811055338297346,,PRUNED
89,0.8895799413871703,2025-09-19 01:24:36.359670,2025-09-19 01:24:36.714847,0 days 00:00:00.355177,balanced,0.7169245858128224,0.1248359640720368,-1,95,0.6877552109233077,758,138,0.0400976614091054,0.05825178726683412,0.6368673136395643,,PRUNED
90,0.9097347545569907,2025-09-19 01:24:36.737997,2025-09-19 01:24:41.308986,0 days 00:00:04.570989,balanced,0.7420975875956659,0.10119985363218677,16,48,0.40810234680888874,495,163,0.41742386785391355,0.220580565059263,0.7172198729670027,60.8,COMPLETE
91,0.8744708563985673,2025-09-19 01:24:41.340152,2025-09-19 01:24:41.557916,0 days 00:00:00.217764,balanced,0.7394129331726066,0.10088588467343979,16,41,0.39546511326410105,518,162,0.3612294959548563,0.18876581550210597,0.7162336587121171,,PRUNED
92,0.9013676326929339,2025-09-19 01:24:41.580956,2025-09-19 01:24:43.039354,0 days 00:00:01.458398,balanced,0.7499533095852615,0.16210412292840717,16,54,0.12689322640021625,684,127,2.816274695837957,0.7297982224540435,0.7049538335100224,,PRUNED
93,0.8603793552588733,2025-09-19 01:24:43.063382,2025-09-19 01:24:43.241515,0 days 00:00:00.178133,balanced,0.7205819536303643,0.11791920517385317,16,61,3.0244624239773477,903,181,0.09545841616038289,0.25347290952373414,0.7350981979326042,,PRUNED
94,0.8775561706284598,2025-09-19 01:24:43.265038,2025-09-19 01:24:43.519918,0 days 00:00:00.254880,balanced,0.769603756798748,0.07442763297879318,6,48,0.5284244176642776,479,148,0.17949806094536747,0.07771735808493153,0.7217583305935509,,PRUNED
95,0.9076629947515615,2025-09-19 01:24:43.542897,2025-09-19 01:24:48.470387,0 days 00:00:04.927490,balanced,0.6924937961559717,0.08330978333223146,16,35,0.2654587541538815,2278,167,0.8079316976621457,0.040849119771730995,0.6849305610186361,68.8,COMPLETE
96,0.8534842070986649,2025-09-19 01:24:48.500112,2025-09-19 01:24:48.693010,0 days 00:00:00.192898,balanced,0.7635038104087883,0.031837304730444355,-1,74,0.09400804643330878,416,138,0.0011755843101316792,0.016461469970633625,0.6150671162140663,,PRUNED
97,0.8998697492673396,2025-09-19 01:24:48.716428,2025-09-19 01:24:49.688769,0 days 00:00:00.972341,balanced,0.7420745417642012,0.1428334234786951,10,65,0.8740001410792304,785,157,0.003170485317969766,0.1227975613174341,0.6086460070626382,,PRUNED
98,0.8658417453598176,2025-09-19 01:24:49.713010,2025-09-19 01:24:49.966230,0 days 00:00:00.253220,balanced,0.6763296071671324,0.004011808202083344,16,54,0.5928036884656301,865,119,5.767641235705366e-07,0.2635486177232389,0.6232297688129649,,PRUNED
99,0.8533213936828394,2025-09-19 01:24:49.989425,2025-09-19 01:24:50.169530,0 days 00:00:00.180105,balanced,0.7106666744634508,0.005957485773684085,4,86,2.1128493759225817,659,187,0.009511065943382104,1.6898887465774996e-06,0.6963154939614357,,PRUNED
